timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688144569334,291,HTTP Request,200,OK,JMeterHomeWork1 1-1,text,true,,1718,120,1,1,https://reqres.in/api/users,289,0,247
1688144574273,133,HTTP Request,200,OK,JMeterHomeWork1 1-2,text,true,,1716,120,1,1,https://reqres.in/api/users,133,0,96
1688144579275,114,HTTP Request,200,OK,JMeterHomeWork1 1-3,text,true,,1718,120,1,1,https://reqres.in/api/users,114,0,67
1688144584273,115,HTTP Request,200,OK,JMeterHomeWork1 1-4,text,true,,1712,120,1,1,https://reqres.in/api/users,115,0,64
1688144589272,150,HTTP Request,200,OK,JMeterHomeWork1 1-5,text,true,,1714,120,1,1,https://reqres.in/api/users,150,0,109
1688144594273,116,HTTP Request,200,OK,JMeterHomeWork1 1-6,text,true,,1712,120,1,1,https://reqres.in/api/users,116,0,71
1688144599273,147,HTTP Request,200,OK,JMeterHomeWork1 1-7,text,true,,1712,120,1,1,https://reqres.in/api/users,147,0,97
1688144604272,174,HTTP Request,200,OK,JMeterHomeWork1 1-8,text,true,,1710,120,1,1,https://reqres.in/api/users,173,0,131
1688144609273,132,HTTP Request,200,OK,JMeterHomeWork1 1-9,text,true,,1708,120,1,1,https://reqres.in/api/users,132,0,95
1688144614272,110,HTTP Request,200,OK,JMeterHomeWork1 1-10,text,true,,1718,120,1,1,https://reqres.in/api/users,110,0,72
1688144619271,108,HTTP Request,200,OK,JMeterHomeWork1 1-11,text,true,,1710,120,1,1,https://reqres.in/api/users,108,0,66
1688144624272,100,HTTP Request,200,OK,JMeterHomeWork1 1-12,text,true,,1712,120,1,1,https://reqres.in/api/users,100,0,64
1688144629273,102,HTTP Request,200,OK,JMeterHomeWork1 1-13,text,true,,1716,120,1,1,https://reqres.in/api/users,102,0,61
1688144634272,115,HTTP Request,200,OK,JMeterHomeWork1 1-14,text,true,,1714,120,1,1,https://reqres.in/api/users,109,0,71
1688144639272,105,HTTP Request,200,OK,JMeterHomeWork1 1-15,text,true,,1714,120,1,1,https://reqres.in/api/users,104,0,65
1688144644271,116,HTTP Request,200,OK,JMeterHomeWork1 1-16,text,true,,1710,120,1,1,https://reqres.in/api/users,116,0,73
1688144649272,141,HTTP Request,200,OK,JMeterHomeWork1 1-17,text,true,,1724,120,1,1,https://reqres.in/api/users,140,0,105
1688144654272,122,HTTP Request,200,OK,JMeterHomeWork1 1-18,text,true,,1722,120,1,1,https://reqres.in/api/users,122,0,84
1688144659272,113,HTTP Request,200,OK,JMeterHomeWork1 1-19,text,true,,1720,120,1,1,https://reqres.in/api/users,113,0,65
1688144664271,121,HTTP Request,200,OK,JMeterHomeWork1 1-20,text,true,,1710,120,1,1,https://reqres.in/api/users,120,0,78
